Sample,Time,Decoder,Ann Row,Ann Class,Value
1153620,48.067 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1153699,48.071 ms,USB packet,Packets,Packet: NAK,NAK
1154788,48.116 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1154867,48.119 ms,USB packet,Packets,Packet: STALL,STALL
1176435,49.018 ms,USB packet,Packets,Packet: SOF,SOF 388
1200444,50.019 ms,USB packet,Packets,Packet: SOF,SOF 389
1212802,50.533 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1212880,50.537 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 00 09 01 00 00 00 00 00 ]
1213087,50.545 ms,USB packet,Packets,Packet: ACK,ACK
1213690,50.570 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1213770,50.574 ms,USB packet,Packets,Packet: NAK,NAK
1214787,50.616 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1214866,50.619 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1214947,50.623 ms,USB packet,Packets,Packet: ACK,ACK
1224453,51.019 ms,USB packet,Packets,Packet: SOF,SOF 390
1239336,51.639 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1239414,51.642 ms,USB packet,Packets,Packet: DATA0,DATA0 [ A1 21 00 00 00 00 07 00 ]
1239621,51.651 ms,USB packet,Packets,Packet: ACK,ACK
1239926,51.664 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1240005,51.667 ms,USB packet,Packets,Packet: NAK,NAK
1241029,51.710 ms,USB packet,Packets,Packet: Invalid,IN ADDR 61 EP 0
1241035,51.710 ms,USB packet,Packets,Packet: Invalid,DATA1 [ 2D 01 2D 01 00 01 2D ]
1242025,51.751 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1242104,51.754 ms,USB packet,Packets,Packet: ACK,ACK
1244316,51.846 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1244394,51.850 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 21 22 00 00 00 00 00 00 ]
1244603,51.858 ms,USB packet,Packets,Packet: ACK,ACK
1245336,51.889 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1245415,51.892 ms,USB packet,Packets,Packet: NAK,NAK
1246847,51.952 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1246926,51.955 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1247007,51.959 ms,USB packet,Packets,Packet: ACK,ACK
1248461,52.019 ms,USB packet,Packets,Packet: SOF,SOF 391
1252081,52.170 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1252159,52.173 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 21 20 00 00 00 00 07 00 ]
1252366,52.182 ms,USB packet,Packets,Packet: ACK,ACK
1252749,52.198 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1252827,52.201 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 2D 01 2D 01 00 01 2D ]
1253018,52.209 ms,USB packet,Packets,Packet: NAK,NAK
1253811,52.242 ms,USB packet,Packets,Packet: OUT,OUT ADDR 61 EP 0
1253889,52.245 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 2D 01 2D 01 00 01 2D ]
1254081,52.253 ms,USB packet,Packets,Packet: ACK,ACK
1254842,52.285 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1254921,52.288 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ]
1255002,52.292 ms,USB packet,Packets,Packet: ACK,ACK
1256222,52.343 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1256300,52.346 ms,USB packet,Packets,Packet: DATA0,DATA0 [ A1 21 00 00 00 00 07 00 ]
1256508,52.354 ms,USB packet,Packets,Packet: ACK,ACK
1257126,52.380 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1257206,52.384 ms,USB packet,Packets,Packet: NAK,NAK
1258693,52.446 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1258772,52.449 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 2D 01 2D 01 00 01 2D ]
1258965,52.457 ms,USB packet,Packets,Packet: ACK,ACK
